Pos.,Pct.,Amount,2 Tied,3 Tied,4 Tied,5 Tied,6 Tied,7 Tied,8 Tied,9 Tied,10 Tied
59,0.23%,"$20,657.00 ","$20,566.00 ","$20,475.00 ","$20,384.00 ","$20,293.00 ","$20,202.00 ","$20,111.00 ","$20,020.00 ","$19,929.00 ","$19,838.00 "
60,0.23%,"$20,475.00 ","$20,384.00 ","$20,293.00 ","$20,202.00 ","$20,111.00 ","$20,020.00 ","$19,929.00 ","$19,838.00 ","$19,747.00 ","$19,656.00 "
61,0.22%,"$20,293.00 ","$20,202.00 ","$20,111.00 ","$20,020.00 ","$19,929.00 ","$19,838.00 ","$19,747.00 ","$19,656.00 ","$19,565.00 ","$19,474.00 "
62,0.22%,"$20,111.00 ","$20,020.00 ","$19,929.00 ","$19,838.00 ","$19,747.00 ","$19,656.00 ","$19,565.00 ","$19,474.00 ","$19,383.00 ","$19,292.00 "
63,0.22%,"$19,929.00 ","$19,838.00 ","$19,747.00 ","$19,656.00 ","$19,565.00 ","$19,474.00 ","$19,383.00 ","$19,292.00 ","$19,201.00 ","$19,110.00 "
64,0.22%,"$19,747.00 ","$19,656.00 ","$19,565.00 ","$19,474.00 ","$19,383.00 ","$19,292.00 ","$19,201.00 ","$19,110.00 ","$19,019.00 ","$18,928.00 "
65,0.21%,"$19,565.00 ","$19,474.00 ","$19,383.00 ","$19,292.00 ","$19,201.00 ","$19,110.00 ","$19,019.00 ","$18,928.00 ","$18,837.00 ","$18,746.00 "
66,0.21%,"$19,383.00 ","$19,292.00 ","$19,201.00 ","$19,110.00 ","$19,019.00 ","$18,928.00 ","$18,837.00 ","$18,746.00 ","$18,655.00 ","$18,564.00 "
67,0.21%,"$19,201.00 ","$19,110.00 ","$19,019.00 ","$18,928.00 ","$18,837.00 ","$18,746.00 ","$18,655.00 ","$18,564.00 ","$18,473.00 ","$18,382.00 "
68,0.21%,"$19,019.00 ","$18,928.00 ","$18,837.00 ","$18,746.00 ","$18,655.00 ","$18,564.00 ","$18,473.00 ","$18,382.00 ","$18,291.00 ","$18,200.00 "
69,0.21%,"$18,837.00 ","$18,746.00 ","$18,655.00 ","$18,564.00 ","$18,473.00 ","$18,382.00 ","$18,291.00 ","$18,200.00 ","$18,109.00 ","$18,018.00 "
70,0.20%,"$18,655.00 ","$18,564.00 ","$18,473.00 ","$18,382.00 ","$18,291.00 ","$18,200.00 ","$18,109.00 ","$18,018.00 ","$17,927.00 ","$17,836.00 "
71,0.20%,"$18,473.00 ","$18,382.00 ","$18,291.00 ","$18,200.00 ","$18,109.00 ","$18,018.00 ","$17,927.00 ","$17,836.00 ","$17,745.00 ","$17,654.00 "
72,0.20%,"$18,291.00 ","$18,200.00 ","$18,109.00 ","$18,018.00 ","$17,927.00 ","$17,836.00 ","$17,745.00 ","$17,654.00 ","$17,563.00 ","$17,472.00 "
73,0.20%,"$18,109.00 ","$18,018.00 ","$17,927.00 ","$17,836.00 ","$17,745.00 ","$17,654.00 ","$17,563.00 ","$17,472.00 ","$17,381.00 ","$17,290.00 "
74,0.20%,"$17,927.00 ","$17,836.00 ","$17,745.00 ","$17,654.00 ","$17,563.00 ","$17,472.00 ","$17,381.00 ","$17,290.00 ","$17,199.00 ","$17,108.00 "
75,0.20%,"$17,745.00 ","$17,654.00 ","$17,563.00 ","$17,472.00 ","$17,381.00 ","$17,290.00 ","$17,199.00 ","$17,108.00 ","$17,017.00 ","$16,926.00 "
